species,Female_None_Mean,Female_None_SE,Female_None_Lower,Female_None_Upper,Female_Hormonal_Mean,Female_Hormonal_SE,Female_Hormonal_Lower,Female_Hormonal_Upper,Female_Immunological_Mean,Female_Immunological_SE,Female_Immunological_Lower,Female_Immunological_Upper,Female_Surgical_Mean,Female_Surgical_SE,Female_Surgical_Lower,Female_Surgical_Upper,Female_Undetermined_Mean,Female_Undetermined_SE,Female_Undetermined_Lower,Female_Undetermined_Upper,Male_None_Mean,Male_None_SE,Male_None_Lower,Male_None_Upper,Male_Hormonal_Mean,Male_Hormonal_SE,Male_Hormonal_Lower,Male_Hormonal_Upper,Male_Immunological_Mean,Male_Immunological_SE,Male_Immunological_Lower,Male_Immunological_Upper,Male_Surgical_Mean,Male_Surgical_SE,Male_Surgical_Lower,Male_Surgical_Upper,Male_Undetermined_Mean,Male_Undetermined_SE,Male_Undetermined_Lower,Male_Undetermined_Upper,Female.None,Female.Hormonal,Female.Immunological,Female.Surgical,Female.Undetermined,Male.None,Male.Hormonal,Male.Immunological,Male.Surgical,Male.Undetermined
Connochaetes taurinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.445478472,0.297899211,6.890434835,8.050678872,NA,NA,NA,NA,NA,NA,NA,NA,10.54268705,0.968698387,8.730589841,12.55817982,6.272233109,1.477347447,3.807688721,9.570769425,0,0,0,0,0,1469,1,1,114,33
Crocuta crocuta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
Cynomys ludovicianus,5.678042979,0.1603684,5.383466593,6.005237905,NA,NA,NA,NA,NA,NA,NA,NA,4.675232964,0.702423218,3.492932377,6.22727184,NA,NA,NA,NA,5.308307613,0.175436527,4.98505557,5.669883913,NA,NA,NA,NA,NA,NA,NA,NA,4.945759099,0.458469586,4.123377725,5.917807723,NA,NA,NA,NA,2858,7,0,65,6,2465,9,0,154,16
Dama dama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.912748151,0.248149627,7.454634644,8.422368211,NA,NA,NA,NA,NA,NA,NA,NA,9.404437453,1.179481018,7.351165125,11.94226964,4.947298398,1.005889319,3.326165513,7.24891621,0,0,0,0,0,4616,0,0,173,30
Damaliscus pygargus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.226857992,0.246767398,5.759387644,6.715410161,NA,NA,NA,NA,NA,NA,NA,NA,6.73363676,1.063030557,4.946105978,9.091431746,NA,NA,NA,NA,0,0,0,0,0,1187,1,1,38,15
Desmodus rotundus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.052095762,0.304427821,7.466376878,8.663214983,NA,NA,NA,NA,NA,NA,NA,NA,13.50693973,1.593689168,10.437276,16.77781791,NA,NA,NA,NA,0,0,0,0,0,933,0,0,66,1
Didelphis virginiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.468738503,0.05379035,1.367068993,1.575814174,NA,NA,NA,NA,NA,NA,NA,NA,2.27948943,0.269622811,1.811034395,2.882590698,NA,NA,NA,NA,0,0,0,0,0,1610,0,0,79,7
Dolichotis patagonum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.555980104,0.137859046,5.291386702,5.831581676,NA,NA,NA,NA,NA,NA,NA,NA,7.289281667,0.939549956,5.662767261,9.284656457,NA,NA,NA,NA,0,0,0,0,0,4227,5,0,124,20
Eidolon helvum,17.8427213,0.543678564,16.82078883,18.9340431,NA,NA,NA,NA,NA,NA,NA,NA,19.94432087,1.430197399,17.32583482,22.96594606,NA,NA,NA,NA,14.74203298,0.443698377,13.8929477,15.62686306,NA,NA,NA,NA,NA,NA,NA,NA,17.83919108,1.000157965,15.9180665,19.96462898,NA,NA,NA,NA,648,2,0,96,3,620,0,0,164,15
Equus asinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.84619896,0.67133183,20.57028493,23.21291319,NA,NA,NA,NA,NA,NA,NA,NA,24.87691354,1.040880497,22.92427584,26.99681761,NA,NA,NA,NA,0,0,0,0,0,2097,1,2,346,24
Equus caballus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.69341894,0.386786453,17.98986084,19.49717242,NA,NA,NA,NA,NA,NA,NA,NA,23.93479754,0.948269231,22.30957921,26.12573185,23.66470644,2.45274137,19.30524915,28.92675447,0,0,0,0,0,4254,1,8,1107,155
Equus hemionus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.21561764,0.854649773,9.757589654,13.16079786,NA,NA,NA,NA,NA,NA,NA,NA,30.04409534,13.54464115,15.31631433,63.57260487,NA,NA,NA,NA,0,0,0,0,0,552,0,4,32,5
Equus quagga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.14064412,0.395002395,13.39767208,14.92677414,NA,NA,NA,NA,NA,NA,NA,NA,21.3044365,1.837522528,18.05987115,25.15506336,NA,NA,NA,NA,0,0,0,0,0,3752,5,11,164,29
