species,Female_Hormonal_Mean,Female_Hormonal_SE,Female_Hormonal_Lower,Female_Hormonal_Upper,Female_Immunological_Mean,Female_Immunological_SE,Female_Immunological_Lower,Female_Immunological_Upper,Female_Surgical_Mean,Female_Surgical_SE,Female_Surgical_Lower,Female_Surgical_Upper,Female_Undetermined_Mean,Female_Undetermined_SE,Female_Undetermined_Lower,Female_Undetermined_Upper,Male_Hormonal_Mean,Male_Hormonal_SE,Male_Hormonal_Lower,Male_Hormonal_Upper,Male_Immunological_Mean,Male_Immunological_SE,Male_Immunological_Lower,Male_Immunological_Upper,Male_Surgical_Mean,Male_Surgical_SE,Male_Surgical_Lower,Male_Surgical_Upper,Male_Undetermined_Mean,Male_Undetermined_SE,Male_Undetermined_Lower,Male_Undetermined_Upper
Giraffa camelopardalis,-0.404719551,-0.075497128,-0.664433093,0.16630957,0.176106288,-0.264754487,0.104427274,-0.728613464,NA,NA,NA,NA,-0.763292369,0.196514376,-0.388666752,-0.075706239,NA,NA,NA,NA,-0.501108898,-1.520230871,-0.399694609,-0.707617343,0.470033682,0.314526147,0.153230355,-0.108262815,NA,NA,NA,NA
Gorilla gorilla,-1.057101706,-1.786552754,-0.653093882,-1.277583174,NA,NA,NA,NA,NA,NA,NA,NA,0.361173214,-0.373560615,0.299582559,-0.090806323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemitragus jemlahicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.332928075,0.200345042,-0.739637478,0.038439123,NA,NA,NA,NA
Hippopotamus amphibius,-1.68303699,1.178415232,-4.544312055,0.108437277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hippotragus niger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.010844576,0.258720703,-0.5388399,0.470801069,NA,NA,NA,NA
Hydrochoerus hydrochaeris,-0.003889286,0.244512686,-0.499375047,0.44400972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071443987,0.12512491,-0.177482787,0.314850995,NA,NA,NA,NA
Hylobates lar,-0.189344018,0.305396404,-0.823782313,0.374875039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hystrix indica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.209753762,0.352246334,-0.934209977,0.428241158,NA,NA,NA,NA
Kobus ellipsiprymnus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.535144494,0.123921115,-0.790142612,-0.299847078,NA,NA,NA,NA
Kobus leche,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.348655519,0.196435401,-0.750132554,0.020291484,NA,NA,NA,NA
Kobus megaceros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.170689215,0.176728714,-0.521886804,0.157537123,NA,NA,NA,NA
Lama glama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.140982354,-0.097714122,-0.07704155,-0.575843305,0.117334372,0.359775338,0.245164086,0.382421788
